Order_ID,Order_Date,Delivery_Date,Product_Name,Category,Supplier,Warehouse,Region,Quantity,Unit_Price,Shipping_Cost,Inventory_Level,Revenue,Profit,Delivery_Status
ORD-10102,2023-02-16,2023-02-23,Backpack,Accessories,Apex Goods,Warehouse B,East,5,39.15,12.0,380,195.75,82.09,Delayed
ORD-10103,2023-02-16,2023-02-18,Leather Wallet,Accessories,Apex Goods,Warehouse C,South,5,143.38,12.0,81,716.9,316.61,On Time
ORD-10104,2023-02-16,2023-02-20,Denim Jeans,Clothing,Vogue Apparel,Warehouse B,North,5,41.55,18.0,254,207.74,74.1,On Time
ORD-10105,2023-02-16,2023-02-20,Smart Watch Band,Accessories,Apex Goods,Warehouse C,East,1,51.46,12.0,374,51.46,17.16,On Time
ORD-10106,2023-02-17,2023-03-01,Backpack,Accessories,Apex Goods,Warehouse B,East,3,94.04,12.0,293,282.12,120.95,Critical Delay
ORD-10107,2023-02-19,2023-02-21,Organic Coffee,Grocery,FreshFoods,Warehouse C,West,6,46.32,8.0,355,277.9,18.23,On Time
ORD-10108,2023-02-20,2023-02-23,Backpack,Accessories,Apex Goods,Warehouse B,South,1,113.38,12.0,100,113.38,45.02,On Time
ORD-10109,2023-02-20,2023-02-23,Organic Coffee,Grocery,FreshFoods,Warehouse A,West,9,10.36,8.0,274,93.25,3.46,On Time
ORD-10110,2023-02-20,2023-02-21,4K Monitor,Electronics,TechCorp,Warehouse B,West,3,928.86,25.0,174,2786.58,962.8,On Time
ORD-10111,2023-02-20,2023-02-21,Backpack,Accessories,Apex Goods,Warehouse A,North,3,71.72,18.0,148,215.16,87.82,On Time
ORD-10112,2023-02-22,2023-02-24,Bulk Almonds,Grocery,FreshFoods,Warehouse A,South,5,46.74,8.0,36,233.69,14.7,On Time
ORD-10113,2023-02-23,2023-02-25,Smart Watch Band,Accessories,Apex Goods,Warehouse A,South,1,74.03,12.0,77,74.03,27.31,On Time
ORD-10114,2023-02-23,2023-02-25,Smart Watch Band,Accessories,Apex Goods,Warehouse B,North,5,117.73,18.0,297,588.65,-88.3,On Time
ORD-10115,2023-02-24,2023-02-27,Smartphone X,Electronics,TechCorp,Warehouse C,South,3,780.09,25.0,390,2340.27,806.59,On Time
ORD-10116,2023-02-24,2023-02-26,4K Monitor,Electronics,TechCorp,Warehouse C,South,1,1045.85,25.0,151,1045.85,353.55,On Time
ORD-10117,2023-02-24,2023-02-28,Leather Wallet,Accessories,Apex Goods,Warehouse A,South,3,53.19,12.0,65,159.57,65.81,On Time
ORD-10118,2023-02-24,2023-03-01,Energy Drinks,Grocery,FreshFoods,Warehouse B,South,5,45.18,8.0,59,225.9,14.07,On Time
ORD-10119,2023-02-25,2023-03-02,Bulk Almonds,Grocery,FreshFoods,Warehouse C,South,11,45.04,8.0,384,495.39,35.63,On Time
ORD-10120,2023-02-27,2023-02-28,Ergonomic Desk,Furniture,TimberCraft,Warehouse A,South,2,336.17,75.0,376,672.34,96.97,On Time
ORD-10121,2023-02-27,2023-03-02,Leather Wallet,Accessories,Apex Goods,Warehouse B,North,3,76.87,18.0,351,230.62,94.78,On Time
ORD-10122,2023-02-28,2023-03-01,Bulk Almonds,Grocery,FreshFoods,Warehouse C,West,9,22.12,8.0,225,199.06,11.92,On Time
ORD-10123,2023-03-02,2023-03-15,Bookshelf,Furniture,TimberCraft,Warehouse B,West,2,188.2,75.0,168,376.39,37.78,Critical Delay
ORD-10124,2023-03-02,2023-03-03,Running Shoes,Clothing,Vogue Apparel,Warehouse C,East,1,121.48,12.0,29,121.48,42.59,On Time
ORD-10125,2023-03-02,2023-03-03,Ergonomic Desk,Furniture,TimberCraft,Warehouse C,West,1,151.98,75.0,340,151.98,-7.1,On Time
ORD-10126,2023-03-03,2023-03-04,Smartphone X,Electronics,TechCorp,Warehouse C,West,3,359.03,25.0,398,1077.08,364.48,On Time
ORD-10127,2023-03-03,2023-03-08,Laptop Pro,Electronics,TechCorp,Warehouse A,North,3,474.07,37.5,92,1422.21,479.02,On Time
ORD-10128,2023-03-04,2023-03-09,4K Monitor,Electronics,TechCorp,Warehouse A,East,1,318.87,25.0,194,318.87,99.1,On Time
ORD-10129,2023-03-04,2023-03-07,Backpack,Accessories,Apex Goods,Warehouse C,South,4,41.19,12.0,358,164.78,68.15,On Time
ORD-10130,2023-03-06,2023-03-07,Bulk Almonds,Grocery,FreshFoods,Warehouse B,North,11,43.73,12.0,358,481.04,32.48,On Time
ORD-10131,2023-03-06,2023-03-10,Denim Jeans,Clothing,Vogue Apparel,Warehouse A,South,5,82.69,12.0,166,413.47,159.39,On Time
ORD-10132,2023-03-07,2023-03-10,Smartphone X,Electronics,TechCorp,Warehouse A,West,3,877.15,25.0,41,2631.46,908.51,On Time
ORD-10133,2023-03-08,2023-03-19,Denim Jeans,Clothing,Vogue Apparel,Warehouse B,North,3,94.33,18.0,347,282.98,104.19,Critical Delay
ORD-10134,2023-03-08,2023-03-11,Office Chair,Furniture,TimberCraft,Warehouse A,South,1,233.62,75.0,88,233.62,9.22,On Time
ORD-10135,2023-03-10,2023-03-14,Office Chair,Furniture,TimberCraft,Warehouse B,North,2,232.98,112.5,186,465.96,36.94,On Time
ORD-10136,2023-03-10,2023-03-12,Bulk Almonds,Grocery,FreshFoods,Warehouse C,East,10,41.24,8.0,299,412.4,28.99,On Time
ORD-10137,2023-03-10,2023-03-15,Backpack,Accessories,Apex Goods,Warehouse B,West,1,87.43,12.0,77,87.43,33.34,On Time
ORD-10138,2023-03-13,2023-03-15,Winter Jacket,Clothing,Vogue Apparel,Warehouse B,North,4,65.05,18.0,285,260.19,95.08,On Time
ORD-10139,2023-03-14,2023-03-26,Office Chair,Furniture,TimberCraft,Warehouse B,North,1,157.58,112.5,176,157.58,-24.73,Critical Delay
ORD-10140,2023-03-14,2023-03-17,Energy Drinks,Grocery,FreshFoods,Warehouse C,South,9,32.14,8.0,226,289.22,-43.38,On Time
ORD-10141,2023-03-14,2023-03-31,Organic Coffee,Grocery,FreshFoods,Warehouse B,East,6,31.03,8.0,173,186.18,10.89,Critical Delay
ORD-10142,2023-03-16,2023-03-20,Bulk Almonds,Grocery,FreshFoods,Warehouse C,West,13,35.01,8.0,320,455.11,32.41,On Time
ORD-10143,2023-03-16,2023-03-17,Leather Wallet,Accessories,Apex Goods,Warehouse C,South,1,48.66,12.0,125,48.66,15.9,On Time
ORD-10144,2023-03-16,2023-03-20,Denim Jeans,Clothing,Vogue Apparel,Warehouse B,East,5,135.71,12.0,386,678.54,265.42,On Time
ORD-10145,2023-03-16,2023-03-17,Organic Coffee,Grocery,FreshFoods,Warehouse B,North,13,31.88,12.0,187,414.38,27.15,On Time
ORD-10146,2023-03-17,2023-03-20,Laptop Pro,Electronics,TechCorp,Warehouse C,West,1,414.41,25.0,309,414.41,132.54,On Time
ORD-10147,2023-03-19,2023-03-21,Winter Jacket,Clothing,Vogue Apparel,Warehouse B,East,2,107.47,12.0,157,214.95,79.98,On Time
ORD-10148,2023-03-19,2023-03-22,Bulk Almonds,Grocery,FreshFoods,Warehouse A,West,10,25.9,8.0,257,258.98,16.72,On Time
ORD-10149,2023-03-20,2023-03-25,Bulk Almonds,Grocery,FreshFoods,Warehouse A,South,11,41.99,8.0,201,461.88,32.95,On Time
ORD-10150,2023-03-20,2023-03-23,Bulk Almonds,Grocery,FreshFoods,Warehouse A,East,10,35.21,8.0,271,352.1,24.17,On Time
ORD-10151,2023-03-21,2023-03-26,Backpack,Accessories,Apex Goods,Warehouse B,North,2,122.06,18.0,279,244.13,-36.62,On Time
ORD-10152,2023-03-22,2023-04-02,4K Monitor,Electronics,TechCorp,Warehouse B,North,2,609.67,37.5,121,1219.34,408.02,Critical Delay
ORD-10153,2023-03-23,2023-03-27,Energy Drinks,Grocery,FreshFoods,Warehouse B,West,8,38.82,8.0,148,310.58,20.85,On Time
ORD-10154,2023-03-23,2023-03-28,Winter Jacket,Clothing,Vogue Apparel,Warehouse A,East,2,116.53,12.0,172,233.06,87.22,On Time
ORD-10155,2023-03-24,2023-03-25,Office Chair,Furniture,TimberCraft,Warehouse A,West,2,241.77,75.0,355,483.54,59.21,On Time
ORD-10156,2023-03-24,2023-03-29,Bookshelf,Furniture,TimberCraft,Warehouse B,West,1,431.55,75.0,137,431.55,48.81,On Time
ORD-10157,2023-03-25,2023-03-30,Bulk Almonds,Grocery,FreshFoods,Warehouse C,West,10,27.57,8.0,106,275.68,18.05,On Time
ORD-10158,2023-03-26,2023-03-28,Organic Coffee,Grocery,FreshFoods,Warehouse C,South,12,16.61,8.0,127,199.34,11.95,On Time
ORD-10159,2023-03-27,2023-03-29,Ergonomic Desk,Furniture,TimberCraft,Warehouse B,South,2,265.68,75.0,141,531.36,68.77,On Time
ORD-10160,2023-03-27,2023-03-30,Denim Jeans,Clothing,Vogue Apparel,Warehouse B,North,3,51.9,18.0,171,155.69,53.28,On Time
ORD-10161,2023-03-28,2023-03-31,Denim Jeans,Clothing,Vogue Apparel,Warehouse C,South,2,110.54,12.0,373,221.07,82.43,On Time
ORD-10162,2023-03-28,2023-04-02,Denim Jeans,Clothing,Vogue Apparel,Warehouse A,East,1,35.0,12.0,336,35.0,8.0,On Time
ORD-10163,2023-03-28,2023-03-30,Denim Jeans,Clothing,Vogue Apparel,Warehouse A,West,2,34.86,12.0,26,69.71,21.88,On Time
ORD-10164,2023-03-28,2023-04-02,Running Shoes,Clothing,Vogue Apparel,Warehouse A,South,1,123.06,12.0,226,123.06,43.22,On Time
ORD-10165,2023-03-29,2023-03-30,Bulk Almonds,Grocery,FreshFoods,Warehouse A,East,12,38.94,8.0,105,467.25,33.38,On Time
ORD-10166,2023-03-29,2023-04-13,Running Shoes,Clothing,Vogue Apparel,Warehouse B,North,3,86.37,18.0,290,259.12,94.65,Critical Delay
ORD-10167,2023-03-30,2023-03-31,Bulk Almonds,Grocery,FreshFoods,Warehouse B,West,13,29.17,8.0,135,379.22,26.34,On Time
ORD-10168,2023-03-31,2023-04-12,Denim Jeans,Clothing,Vogue Apparel,Warehouse B,South,5,50.1,12.0,240,250.51,94.2,Critical Delay
ORD-10169,2023-03-31,2023-04-03,Bulk Almonds,Grocery,FreshFoods,Warehouse C,East,8,24.98,8.0,115,199.83,11.99,On Time
ORD-10170,2023-03-31,2023-04-01,Ergonomic Desk,Furniture,TimberCraft,Warehouse A,West,2,102.13,75.0,226,204.25,3.35,On Time
ORD-10171,2023-03-31,2023-04-17,Winter Jacket,Clothing,Vogue Apparel,Warehouse B,South,2,87.74,12.0,374,175.48,64.19,Critical Delay
ORD-10172,2023-03-31,2023-04-02,Laptop Pro,Electronics,TechCorp,Warehouse A,North,3,358.68,37.5,296,1076.04,357.86,On Time
ORD-10173,2023-04-01,2023-04-18,Backpack,Accessories,Apex Goods,Warehouse B,East,2,40.34,12.0,286,80.68,30.31,Critical Delay
ORD-10174,2023-04-02,2023-04-06,Smart Watch Band,Accessories,Apex Goods,Warehouse B,West,1,44.43,12.0,197,44.43,13.99,On Time
ORD-10175,2023-04-02,2023-04-07,Running Shoes,Clothing,Vogue Apparel,Warehouse A,West,3,110.01,12.0,241,330.02,126.01,On Time
ORD-10176,2023-04-02,2023-04-04,Office Chair,Furniture,TimberCraft,Warehouse B,North,1,211.38,112.5,297,211.38,-13.97,On Time
ORD-10177,2023-04-02,2023-04-06,Energy Drinks,Grocery,FreshFoods,Warehouse C,East,8,17.51,8.0,180,140.07,7.21,On Time
ORD-10178,2023-04-02,2023-04-04,Wireless Earbuds,Electronics,TechCorp,Warehouse B,South,3,615.24,25.0,335,1845.72,633.5,On Time
ORD-10179,2023-04-03,2023-04-06,Denim Jeans,Clothing,Vogue Apparel,Warehouse B,North,5,137.12,18.0,277,685.62,265.25,On Time
ORD-10180,2023-04-03,2023-04-08,Energy Drinks,Grocery,FreshFoods,Warehouse C,West,14,47.34,8.0,370,662.8,-99.42,On Time
ORD-10181,2023-04-04,2023-04-09,Bookshelf,Furniture,TimberCraft,Warehouse C,West,2,439.67,75.0,323,879.34,138.37,On Time
ORD-10182,2023-04-05,2023-04-07,Wireless Earbuds,Electronics,TechCorp,Warehouse B,North,3,906.16,37.5,254,2718.48,932.72,On Time
ORD-10183,2023-04-05,2023-04-09,Energy Drinks,Grocery,FreshFoods,Warehouse B,West,7,33.24,8.0,172,232.67,14.61,On Time
